Total Cohort #,Total Grads #,Dropped Out #,Still Enrolled #,Local #,Total Regents #,Regents w/o Advanced #,Advanced Regents #
20822,11951.0,5125.0,3276.0,1911.0,10040.0,7435.0,2605.0
22057,15703.0,3973.0,2059.0,2418.0,13285.0,12182.0,1103.0
24870,6171.0,9458.0,8813.0,1986.0,4185.0,4170.0,15.0
16551,11701.0,2352.0,2350.0,868.0,10833.0,9494.0,1339.0
1322,463.0,154.0,675.0,24.0,439.0,439.0,0.0
832,712.0,60.0,60.0,166.0,546.0,522.0,24.0
27546,22371.0,2377.0,2581.0,4498.0,17873.0,15484.0,2389.0
15006,12919.0,1047.0,911.0,653.0,12266.0,10567.0,1699.0
11586,2937.0,4361.0,4107.0,94.0,2843.0,2843.0,0.0
7155,1592.0,4771.0,525.0,1547.0,45.0,45.0,0.0
36761,15635.0,11963.0,7296.0,11731.0,3904.0,3312.0,592.0
30892,20715.0,5645.0,3958.0,5769.0,14956.0,14268.0,688.0
22113,15762.0,3082.0,2825.0,2426.0,13351.0,11062.0,2289.0
9744,2051.0,5429.0,1329.0,2061.0,0.0,0.0,0.0
20434,15545.0,2151.0,1607.0,3052.0,12493.0,10736.0,1757.0
29492,16131.0,7096.0,4660.0,4523.0,11608.0,11391.0,217.0
23386,15294.0,4530.0,2918.0,3725.0,11569.0,10892.0,677.0
247434,144393.0,55015.0,36134.0,36595.0,107833.0,79872.0,27961.0
16984,14651.0,1012.0,1104.0,2154.0,12497.0,11029.0,1468.0
166521,165843.0,170.0,480.0,12.0,165831.0,3024.0,162807.0
102305,46643.0,30366.0,16987.0,23412.0,23401.0,21158.0,2243.0
25520,23466.0,690.0,1161.0,1074.0,22392.0,17276.0,5116.0
4908,2396.0,1521.0,925.0,174.0,2222.0,2222.0,0.0
21092,14872.0,3265.0,2457.0,2940.0,11932.0,11559.0,373.0
25903,17180.0,4384.0,3655.0,2023.0,15157.0,8229.0,6928.0
3140,2388.0,420.0,316.0,76.0,2312.0,2208.0,104.0
68100,29999.0,22488.0,12446.0,11178.0,18826.0,17729.0,1097.0
18858,18650.0,43.0,145.0,0.0,18650.0,1937.0,16713.0
10704,10229.0,216.0,232.0,262.0,9967.0,8249.0,1718.0
21520,13692.0,4162.0,2465.0,2736.0,10956.0,10711.0,245.0
22065,16282.0,2425.0,3172.0,3431.0,12851.0,12801.0,50.0
14793,10297.0,2170.0,1862.0,1857.0,8440.0,8035.0,405.0
23559,19360.0,1734.0,2222.0,1964.0,17396.0,13975.0,3421.0
29521,25024.0,2477.0,1281.0,1702.0,23322.0,14687.0,8635.0
23882,17386.0,3462.0,2457.0,2257.0,15129.0,13723.0,1406.0
23653,17698.0,2268.0,3229.0,4109.0,13589.0,12562.0,1027.0
80467,39066.0,19515.0,16501.0,18595.0,20476.0,19154.0,1322.0
23450,15005.0,3337.0,3460.0,3081.0,11924.0,11136.0,788.0
25425,9970.0,10523.0,3638.0,7188.0,2802.0,2667.0,135.0
137833,90118.0,26234.0,14002.0,13692.0,76431.0,70496.0,5935.0
6021,4822.0,545.0,601.0,837.0,3985.0,3866.0,119.0
5336,3708.0,738.0,868.0,296.0,3412.0,2762.0,650.0
13461,10965.0,1095.0,1302.0,1215.0,9750.0,7428.0,2322.0
18865,12214.0,3463.0,2709.0,3692.0,8522.0,8199.0,323.0
15903,9032.0,3834.0,2037.0,3902.0,5130.0,4735.0,395.0
21849,19813.0,896.0,879.0,2349.0,17464.0,14380.0,3084.0
26852,19300.0,3655.0,3452.0,3649.0,15651.0,14924.0,727.0
19254,15151.0,2176.0,1676.0,4484.0,10667.0,10365.0,302.0
6851,5796.0,394.0,646.0,279.0,5517.0,3787.0,1730.0
7458,3329.0,2852.0,887.0,15.0,3314.0,3314.0,0.0
17824,12363.0,2832.0,1948.0,2776.0,9587.0,9126.0,461.0
18349,12109.0,3849.0,1960.0,2257.0,9852.0,9441.0,411.0
10891,4598.0,2887.0,2611.0,2335.0,2263.0,2263.0,0.0
7719,6652.0,597.0,159.0,536.0,6116.0,4316.0,1800.0
19210,14172.0,2822.0,1849.0,2627.0,11545.0,11106.0,439.0
12560,6170.0,3467.0,2563.0,461.0,5709.0,5584.0,125.0
8767,2733.0,2937.0,2945.0,596.0,2137.0,2125.0,12.0
6537,5005.0,521.0,889.0,839.0,4166.0,4062.0,104.0
9265,7054.0,978.0,1133.0,150.0,6904.0,6784.0,120.0
18382,4544.0,5557.0,7846.0,410.0,4134.0,4134.0,0.0
6261,5873.0,161.0,227.0,114.0,5759.0,5107.0,652.0
8835,4550.0,1813.0,1705.0,579.0,3971.0,3971.0,0.0
35373,9725.0,10462.0,14021.0,4657.0,5068.0,5011.0,57.0
5303,3772.0,799.0,676.0,856.0,2916.0,2795.0,121.0
6995,5137.0,845.0,881.0,453.0,4684.0,4338.0,346.0
21161,13258.0,2944.0,4641.0,3458.0,9812.0,9232.0,580.0
11410,6175.0,2899.0,1658.0,2892.0,3271.0,3231.0,40.0
29177,19689.0,4320.0,3259.0,3778.0,15911.0,15911.0,0.0
29163,18579.0,4640.0,4914.0,3701.0,14878.0,13806.0,1072.0
20824,10576.0,5976.0,3409.0,4117.0,6459.0,6018.0,441.0
26547,13143.0,6213.0,6159.0,2931.0,10256.0,9883.0,373.0
15300,11409.0,1266.0,2431.0,2051.0,9382.0,8891.0,491.0
366,196.0,81.0,72.0,0.0,196.0,196.0,0.0
16456,10987.0,2982.0,2197.0,2676.0,8311.0,8311.0,0.0
16016,11753.0,1936.0,2094.0,1888.0,9865.0,9679.0,186.0
42212,31849.0,4456.0,4853.0,4736.0,27113.0,23163.0,3950.0
273786,265020.0,1864.0,6298.0,102.0,264918.0,26995.0,237923.0
21932,18868.0,1577.0,1472.0,2624.0,16244.0,16244.0,0.0
19918,18087.0,579.0,1116.0,1958.0,16129.0,15444.0,685.0
36300,25558.0,4893.0,4711.0,4795.0,20763.0,19750.0,1013.0
7737,4686.0,1163.0,1614.0,688.0,4010.0,3827.0,183.0
5809,4913.0,274.0,590.0,393.0,4520.0,4320.0,200.0
20339,7621.0,3865.0,8492.0,3677.0,3944.0,3913.0,31.0
11493,4455.0,2580.0,4113.0,1798.0,2657.0,2657.0,0.0
16811,16311.0,183.0,305.0,493.0,15818.0,7703.0,8115.0
46107,31094.0,5932.0,6295.0,10380.0,20724.0,18620.0,2104.0
14606,2738.0,4884.0,6580.0,1286.0,1452.0,1452.0,0.0
52250,49546.0,982.0,1594.0,2094.0,47452.0,30826.0,16626.0
10933,8944.0,272.0,1630.0,814.0,8130.0,7984.0,146.0
21000,11777.0,4019.0,4584.0,2489.0,9288.0,9158.0,130.0
7808,4441.0,1664.0,1482.0,1183.0,3258.0,3173.0,85.0
14386,14146.0,36.0,204.0,80.0,14066.0,9253.0,4813.0
14630,9365.0,3057.0,1909.0,1268.0,8097.0,8097.0,0.0
62299,42865.0,9144.0,9048.0,9983.0,32882.0,31913.0,969.0
44163,28025.0,8435.0,6761.0,7307.0,20718.0,19770.0,948.0
54698,44493.0,4322.0,5258.0,7275.0,37218.0,31564.0,5654.0
18856,15987.0,1200.0,1327.0,2994.0,12993.0,12798.0,195.0
23319,20636.0,1783.0,654.0,1458.0,19178.0,15117.0,4061.0
28464,25878.0,1323.0,1123.0,1577.0,24301.0,19154.0,5147.0
11787,7834.0,2176.0,1689.0,1321.0,6513.0,6513.0,0.0
39275,22351.0,9167.0,5131.0,9335.0,13031.0,12282.0,749.0
2879,2879.0,0.0,0.0,245.0,2634.0,2546.0,88.0
4064,2667.0,609.0,707.0,506.0,2161.0,2145.0,16.0
9353,4775.0,3131.0,985.0,3730.0,1045.0,928.0,117.0
10759,7741.0,1170.0,1487.0,1477.0,6264.0,6264.0,0.0
96,0.0,64.0,18.0,0.0,0.0,0.0,0.0
2929,969.0,1216.0,398.0,223.0,746.0,746.0,0.0
16437,10668.0,2508.0,2559.0,2828.0,7840.0,7822.0,18.0
17408,15409.0,1052.0,779.0,574.0,14835.0,14835.0,0.0
288,12.0,195.0,0.0,12.0,0.0,0.0,0.0
19807,15873.0,1449.0,1742.0,3906.0,11967.0,11080.0,887.0
17161,12034.0,2036.0,2629.0,2864.0,9170.0,8345.0,825.0
17297,11937.0,1985.0,2955.0,2991.0,8946.0,8215.0,731.0
18153,12497.0,2471.0,2743.0,3031.0,9466.0,8857.0,609.0
39638,26774.0,5964.0,4574.0,8887.0,17892.0,16601.0,1291.0
13241,4144.0,3322.0,5522.0,3119.0,1025.0,1025.0,0.0
21338,5840.0,5614.0,9538.0,2310.0,3530.0,3530.0,0.0
12423,7063.0,2722.0,2279.0,3508.0,3555.0,3514.0,41.0
1698,1177.0,280.0,229.0,134.0,1043.0,985.0,58.0
36589,30959.0,1183.0,4132.0,5599.0,25375.0,23423.0,1952.0
34091,24801.0,3125.0,5371.0,3369.0,21432.0,20919.0,513.0
7511,7312.0,42.0,142.0,12.0,7300.0,3798.0,3502.0
15221,3667.0,3837.0,7317.0,1966.0,1701.0,1678.0,23.0
7148,5325.0,616.0,1081.0,797.0,4528.0,4339.0,189.0
130596,64383.0,29039.0,24005.0,20497.0,43886.0,41717.0,2169.0
28252,19226.0,3681.0,3195.0,3855.0,15371.0,14304.0,1067.0
7585,4829.0,1315.0,1357.0,37.0,4792.0,4792.0,0.0
8262,2021.0,2177.0,3977.0,541.0,1480.0,1480.0,0.0
3961,2414.0,872.0,562.0,554.0,1860.0,1840.0,20.0
5323,3988.0,62.0,1240.0,170.0,3818.0,3597.0,221.0
15235,10986.0,1642.0,2337.0,1130.0,9856.0,8269.0,1587.0
12346,8123.0,1721.0,2415.0,992.0,7131.0,7108.0,23.0
7665,3587.0,2973.0,745.0,2682.0,915.0,915.0,0.0
3933,2105.0,1128.0,613.0,1370.0,801.0,675.0,126.0
5971,2764.0,1944.0,938.0,2037.0,727.0,712.0,15.0
7872,3734.0,2703.0,904.0,2629.0,1105.0,1063.0,42.0
6903,4297.0,1490.0,882.0,2789.0,1508.0,1223.0,285.0
21533,5541.0,7497.0,7733.0,2740.0,2805.0,2805.0,0.0
17674,11649.0,2235.0,3483.0,2408.0,9241.0,9241.0,0.0
17869,11586.0,3292.0,2347.0,2195.0,9391.0,8992.0,399.0
12588,9933.0,1243.0,1301.0,1714.0,8219.0,7245.0,974.0
13367,8756.0,1630.0,2649.0,2270.0,6486.0,6311.0,175.0
22102,15579.0,3628.0,2380.0,3789.0,11790.0,11169.0,621.0
22894,17716.0,3229.0,1683.0,2443.0,15273.0,13039.0,2234.0
15426,15020.0,99.0,287.0,646.0,14374.0,12962.0,1412.0
12211,8294.0,1887.0,1716.0,2302.0,5992.0,5840.0,152.0
19351,18499.0,209.0,584.0,1647.0,16852.0,14511.0,2341.0
25127,18966.0,2372.0,3521.0,2821.0,16145.0,14673.0,1472.0
17258,13700.0,1522.0,1733.0,2553.0,11147.0,10310.0,837.0
19940,7436.0,4333.0,7974.0,2288.0,5148.0,5148.0,0.0
39537,37256.0,787.0,1264.0,1507.0,35749.0,24911.0,10838.0
110565,81384.0,10997.0,12769.0,17430.0,63954.0,57943.0,6011.0
41854,23069.0,8842.0,8166.0,11804.0,11265.0,9970.0,1295.0
3190,3015.0,34.0,117.0,398.0,2617.0,2505.0,112.0
5156,3986.0,540.0,542.0,357.0,3629.0,3552.0,77.0
39592,19843.0,9446.0,8847.0,10861.0,8992.0,7416.0,1576.0
63849,27126.0,16116.0,14950.0,16614.0,10527.0,9482.0,1045.0
36216,15302.0,12372.0,6982.0,11294.0,4008.0,3554.0,454.0
15834,14067.0,747.0,919.0,919.0,13148.0,11295.0,1853.0
11805,7553.0,1927.0,1843.0,679.0,6874.0,6798.0,76.0
10793,7611.0,1530.0,1245.0,462.0,7149.0,7124.0,25.0
11595,8819.0,1359.0,1152.0,1304.0,7515.0,7300.0,215.0
10999,8960.0,722.0,1214.0,1491.0,7469.0,7319.0,150.0
17704,5438.0,3872.0,7687.0,1717.0,3721.0,3721.0,0.0
8387,5596.0,1087.0,1539.0,843.0,4753.0,4753.0,0.0
9092,6781.0,1019.0,1075.0,583.0,6198.0,6128.0,70.0
9099,6509.0,767.0,1648.0,786.0,5723.0,5475.0,248.0
14261,13269.0,269.0,606.0,496.0,12773.0,12264.0,509.0
14018,3231.0,3694.0,6708.0,1204.0,2027.0,2027.0,0.0
8823,6645.0,949.0,978.0,733.0,5912.0,5900.0,12.0
10355,6846.0,1238.0,2022.0,836.0,6010.0,5986.0,24.0
14336,4982.0,3454.0,5658.0,1743.0,3239.0,3239.0,0.0
12275,10180.0,922.0,999.0,1884.0,8296.0,8273.0,23.0
12062,10503.0,473.0,962.0,2068.0,8435.0,7731.0,704.0
78309,33571.0,26266.0,15611.0,15839.0,17732.0,15110.0,2622.0
14015,5467.0,4842.0,3036.0,4898.0,544.0,469.0,75.0
16777,11466.0,3161.0,1832.0,3251.0,8215.0,8060.0,155.0
22872,14244.0,4435.0,3804.0,3572.0,10672.0,10333.0,339.0
22086,15758.0,3066.0,2943.0,2581.0,13177.0,12810.0,367.0
18844,13029.0,2676.0,2752.0,3221.0,9808.0,9306.0,502.0
